охра	ɔ x r ɐ
песимістичний	p e s e mʲ i s t ɪ t͡ʃ n e i̯
печиво	p ɛ t͡ʃ e w ɔ
мріях	m rʲ i j ɐ x
неформальний	n e f ɔ r m ɑ lʲ n e i̯
федерації	f e d e r ɑ t͡sʲ i j i
любисток	lʲ ʊ b ɪ s t ɔ k
попит	p ɔ p e t
подібність	p o dʲ i b nʲ i sʲ tʲ
справами	s p r ɑ ʋ ɐ m e
безжалісний	b e ʒː ɑ lʲ i s n e i̯
щокою	ʃ t͡ʃ ɔ k ɔ j ʊ
населити	n ɐ s e ɫ ɪ t e
чий	t͡ʃ ɪ i̯
інтеграція	i n t e ɦ r ɑ t͡sʲ i j ɐ
монумент	m ɔ n ʊ m ɛ n t
шістнадцятий	ʃʲ i s t n ɑ d͡zʲ t͡sʲ ɐ t e i̯
супругою	s ʊ p r u ɦ ɔ j ʊ
врятовувати	w rʲ ɐ t ɔ w ʊ ʋ ɐ t e
бурмило	b ʊ r m ɪ ɫ ɔ
ганьба	ɦ ɐ nʲ b ɑ
дівчата	dʲ i u̯ t͡ʃ ɑ t ɐ
антидот	ɐ n t e d ɔ t
абсцес	ɐ b s t͡s ɛ s
внаслідок	w n ɑ sʲ lʲ i d ɔ k
чудій	t͡ʃ ʊ dʲ i i̯
установити	ʊ s t ɐ n ɔ ʋ ɪ t e
відчути	ʋʲ i d͡ʒ t͡ʃ u t e
портфеля	p ɔ r t f ɛ lʲ ɐ
решта	r ɛ ʃ t ɐ
переоцінювати	p e r e o t͡sʲ i nʲ ʊ ʋ ɐ t e
муха	m u x ɐ
багатогодинний	b ɐ ɦ ɐ t ɔ ɦ ɔ d ɪ nː e i̯
прогнозувати	p r ɔ ɦ n ɔ z ʊ ʋ ɑ t e
сотий	s ɔ t e i̯
зірка	zʲ i r k ɐ
соловей	s ɔ ɫ ɔ ʋ ɛ i̯
царство	t͡s ɑ r s t w ɔ
диктатор	d e k t ɑ t ɔ r
самодержавство	s ɐ m ɔ d e r ʒ ɑ u̯ s t w ɔ
досьє	d ɔ sʲ j ɛ
позбутися	p o z b u t e sʲ ɐ
сприйняття	s p r e i̯ nʲ ɐ tʲː ɑ
відсвяткувати	ʋʲ i d͡z sʲ ʋʲ ɐ t k ʊ ʋ ɑ t e
зменшень	z m ɛ n ʃ e nʲ
наркотичний	n ɐ r k ɔ t ɪ t͡ʃ n e i̯
піраміда	pʲ i r ɐ mʲ i d ɐ
абіогенез	ɐ bʲ i ɔ ɦ e n ɛ z
органи	ɔ r ɦ ɐ n e
працівникам	p r ɐ t͡sʲ i u̯ n e k ɑ m
яєчний	j ɐ j ɛ t͡ʃ n e i̯
дисертацій	d e s e r t ɑ t͡sʲ i i̯
дія	dʲ i j ɐ
абсолютно	ɐ b s o lʲ u t n ɔ
зустріти	z ʊ s tʲ rʲ i t e
смак	s m ɑ k
хліб	x lʲ i b
підприємниця	pʲ i d p r e j ɛ m n e t͡sʲ ɐ
психологічний	p s e x ɔ ɫ o ɦʲ i t͡ʃ n e i̯
поїти	p ɔ j i t e
пізніший	pʲ i zʲ nʲ i ʃ e i̯
прибічник	p r e bʲ i t͡ʃ n e k
еякуляція	e j ɐ k ʊ lʲ ɑ t͡sʲ i j ɐ
здивувати	z d e w ʊ ʋ ɑ t e
ідея	i d ɛ j ɐ
навчити	n ɐ u̯ t͡ʃ ɪ t e
коротше	k ɔ r ɔ t͡ʃ ʃ e
кіберпростір	kʲ i b e r p r ɔ sʲ tʲ i r
аборт	ɐ b ɔ r t
бездомний	b e z d ɔ m n e i̯
автогемотерапія	ɐ u̯ t ɔ ɦ e m ɔ t e r ɐ pʲ i j ɐ
щоку	ʃ t͡ʃ o k u
компонент	k ɔ m p ɔ n ɛ n t
допустити	d ɔ p ʊ s t ɪ t e
надії	n ɐ dʲ i j i
критика	k r ɪ t e k ɐ
пропозиції	p r ɔ p ɔ z ɪ t͡sʲ i j i
гребти	ɦ r e b t ɪ
наставати	n ɐ s t ɐ ʋ ɑ t e
недавно	n e d ɑ u̯ n ɔ
культурний	k ʊ lʲ t u r n e i̯
обідати	o bʲ i d ɐ t e
максимальний	m ɐ k s e m ɑ lʲ n e i̯
петиціях	p e t ɪ t͡sʲ i j ɐ x
хмельницький	x m e lʲ n ɪ t͡sʲ k e i̯
рік	rʲ i k
авансування	ɐ ʋ ɐ n s ʊ ʋ ɑ nʲː ɐ
найдружелюбніший	n ɐ i̯ d r ʊ ʒ e lʲ u b nʲ i ʃ e i̯
злочинець	z ɫ ɔ t͡ʃ ɪ n e t͡sʲ
розділ	r ɔ zʲ dʲ i ɫ
голосувати	ɦ ɔ ɫ ɔ s ʊ ʋ ɑ t e
асистент	ɐ s e s t ɛ n t
вперше	ʍ p ɛ r ʃ e
руки	r u k e
автовакцина	ɐ u̯ t ɔ ʋ ɐ k t͡s ɪ n ɐ
засновник	z ɐ s n ɔ u̯ n e k
тисяч	t ɪ sʲ ɐ t͡ʃ
галасливий	ɦ ɐ ɫ ɐ s ɫ ɪ ʋ e i̯
дур	d u r
цією	t͡sʲ i j ɛ j ʊ
доброчесний	d ɔ b r ɔ t͡ʃ ɛ s n e i̯
індивід	i n d e ʋʲ i d
словак	s ɫ ɔ ʋ ɑ k
посилювати	p ɔ s ɪ lʲ ʊ ʋ ɐ t e
страх	s t r ɑ x
лихо	ɫ ɪ x ɔ
фея	f ɛ j ɐ
винайти	ʋ ɪ n ɐ i̯ t e
гнати	ɦ n ɑ t e
стоматологія	s t ɔ m ɐ t ɔ ɫ ɔ ɦʲ i j ɐ
відчиняти	ʋʲ i d͡ʒ t͡ʃ e nʲ ɑ t e
технократичний	t e x n ɔ k r ɐ t ɪ t͡ʃ n e i̯
інструкцією	i n s t r u k t͡sʲ i j e j ʊ
молочний	m ɔ ɫ ɔ t͡ʃ n e i̯
горище	ɦ ɔ r ɪ ʃ t͡ʃ e
каплицю	k ɐ p ɫ ɪ t͡sʲ ʊ
підпорядковувати	pʲ i d p ɔ rʲ ɐ d k ɔ w ʊ ʋ ɐ t e
осмислювати	ɔ s m ɪ sʲ lʲ ʊ ʋ ɐ t e
порівняння	p ɔ rʲ i u̯ nʲ ɑ nʲː ɐ
синтезувати	s e n t e z ʊ ʋ ɑ t e
цвіркун	t͡sʲ ʋʲ i r k u n
гібридний	ɦʲ i b r ɪ d n e i̯
збір	zʲ bʲ i r
розширити	r ɔ ʒ ʃ ɪ r e t e
мізерний	mʲ i z e r n e i̯
скайдайвінг	s k ɐ i̯ d ɑ j ʋʲ i n ɦ
аномалія	ɐ n ɔ m ɑ lʲ i j ɐ
власна	w ɫ ɑ s n ɐ
постатях	p ɔ s t ɐ tʲ ɐ x
вмикати	w m e k ɑ t e
ліцензія	lʲ i t͡s ɛ nʲ zʲ i j ɐ
періодизаціях	p e rʲ i ɔ d e z ɑ t͡sʲ i j ɐ x
маскат	m ɐ s k ɑ t
шлюб	ʃ lʲ u b
велосипедистка	ʋ e ɫ ɔ s e p e d ɪ s t k ɐ
онтологія	ɔ n t ɔ ɫ ɔ ɦʲ i j ɐ
зазначити	z ɐ z n ɐ t͡ʃ ɪ t e
мігрант	mʲ i ɦ r ɑ n t
сам	s ɑ m
амбіція	ɐ m bʲ i t͡sʲ i j ɐ
бісексуал	bʲ i s e k s ʊ ɑ ɫ
печивами	p ɛ t͡ʃ e ʋ ɐ m e
багатолюдний	b ɐ ɦ ɐ t o lʲ u d n e i̯
доїхати	d ɔ j i x ɐ t e
авіаракетобудування	ɐ ʋʲ i ɐ r ɐ k e t ɔ b ʊ d ʊ ʋ ɑ nʲː ɐ
неподільний	n e p o dʲ i lʲ n e i̯
комунізм	k ɔ m ʊ nʲ i z m
дев'яностий	d e ʋ j ɐ n ɔ s t e i̯
погрожувати	p ɔ ɦ r ɔ ʒ ʊ ʋ ɐ t e
товар	t ɔ ʋ ɑ r
жарт	ʒ ɑ r t
законослухняний	z ɐ k ɔ n ɔ s ɫ ʊ x nʲ ɑ n e i̯
границя	ɦ r ɐ n ɪ t͡sʲ ɐ
лисиця	ɫ e s ɪ t͡sʲ ɐ
абстрагування	ɐ b s t r ɐ ɦ ʊ ʋ ɑ nʲː ɐ
скляний	s k lʲ ɐ n ɪ i̯
питання	p e t ɑ nʲː ɐ
тренінг	t r ɛ nʲ i n ɦ
добувати	d ɔ b ʊ ʋ ɑ t e
посібник	p o sʲ i b n e k
подивитися	p ɔ d e ʋ ɪ t e sʲ ɐ
афганський	ɐ v ɦ ɑ nʲ sʲ k e i̯
зарубіжжя	z ɐ r ʊ bʲ i ʒʲː ɐ
пастка	p ɑ s t k ɐ
парадигма	p ɐ r ɐ d ɪ ɦ m ɐ
спортсмен	s p ɔ r t͡s m ɛ n
ув'язнення	ʊ ʋ j ɑ z n e nʲː ɐ
автобальзам	ɐ u̯ t ɔ b ɐ lʲ z ɑ m
волонтер	w ɔ ɫ ɔ n t ɛ r
поздоровити	p ɔ z d ɔ r ɔ ʋ e t e
привселюдний	p r e u̯ s e lʲ u d n e i̯
авіапідживлення	ɐ ʋʲ i ɐ pʲ i d͡ʒ ɪ u̯ ɫ e nʲː ɐ
молекулярний	m ɔ ɫ e k ʊ lʲ ɑ r n e i̯
тисячолітті	t e sʲ ɐ t͡ʃ o lʲ i tʲː i
мешкати	m ɛ ʃ k ɐ t e
дебіл	d e bʲ i ɫ
героїчний	ɦ e r ɔ j i t͡ʃ n e i̯
транзит	t r ɐ n z ɪ t
зручний	z r u t͡ʃ n e i̯
абсурдно	ɐ b s u r d n ɔ
стефанія	s t e f ɑ nʲ i j ɐ
дихотомія	d e x ɔ t o mʲ i j ɐ
цікавий	t͡sʲ i k ɑ ʋ e i̯
вагітна	ʋ ɐ ɦʲ i t n ɐ
литка	ɫ ɪ t k ɐ
кримінальний	k r e mʲ i n ɑ lʲ n e i̯
тріска	tʲ rʲ i s k ɐ
брак	b r ɑ k
органічна	ɔ r ɦ ɐ nʲ i t͡ʃ n ɐ
чорниця	t͡ʃ ɔ r n ɪ t͡sʲ ɐ
привабити	p r e ʋ ɑ b e t e
рига	r ɪ ɦ ɐ
абвер	ɑ b ʋ e r
асимптота	ɐ s e m p t ɔ t ɐ
імперія	i m p ɛ rʲ i j ɐ
взірцевий	w zʲ i r t͡s ɛ ʋ e i̯
роззброювати	r ɔ zː b r ɔ j ʊ ʋ ɐ t e
гроші	ɦ r o ʃʲ i
паузами	p ɑ ʊ z ɐ m e
продуктивність	p r ɔ d ʊ k t ɪ u̯ nʲ i sʲ tʲ
лекції	ɫ ɛ k t͡sʲ i j i
абиколи	ɐ b ɪ k ɔ ɫ e
угорка	ʊ ɦ ɔ r k ɐ
емоцію	e m ɔ t͡sʲ i j ʊ
вимерти	ʋ ɪ m e r t e
морква	m ɔ r k ʋ ɐ
бібліофіл	bʲ i b lʲ i o fʲ i ɫ
абсурд	ɐ b s u r d
восьмисот	w ɔ sʲ m e s ɔ t
щоко	ʃ t͡ʃ ɔ k ɔ
засада	z ɐ s ɑ d ɐ
значний	z n ɐ t͡ʃ n ɪ i̯
відважний	ʋʲ i d ʋ ɑ ʒ n e i̯
терем	t ɛ r e m
відповідь	ʋʲ i d p ɔ ʋʲ i dʲ
зад	z ɑ d
журналістка	ʒ ʊ r n ɐ lʲ i s t k ɐ
каплиць	k ɐ p ɫ ɪ t͡sʲ
абхазець	ɐ b x ɑ z e t͡sʲ
картка	k ɑ r t k ɐ
полк	p ɔ ɫ k
дев'ять	d ɛ ʋ j ɐ tʲ
автодидакт	ɐ u̯ t ɔ d e d ɑ k t
перекладачки	p e r e k ɫ ɐ d ɑ t͡ʃ k e
широкомасштабний	ʃ e r ɔ k ɔ m ɐ ʃː t ɑ b n e i̯
анжеліка	ɐ n ʒ e lʲ i k ɐ
равлик	r ɑ u̯ ɫ e k
фоб	f ɔ b
словника	s ɫ ɔ u̯ n e k ɑ
гонор	ɦ ɔ n ɔ r
пісня	pʲ i sʲ nʲ ɐ
використання	ʋ e k ɔ r e s t ɑ nʲː ɐ
посадка	p ɔ s ɑ d k ɐ
боягузливий	b ɔ j ɐ ɦ u z ɫ e ʋ e i̯
грудень	ɦ r u d e nʲ
звинуватити	z ʋ e n ʊ ʋ ɑ t e t e
тацях	t ɑ t͡sʲ ɐ x
зображати	z ɔ b r ɐ ʒ ɑ t e
інна	i nː ɐ
забобон	z ɐ b ɔ b ɔ n
ситуаціях	s e t ʊ ɑ t͡sʲ i j ɐ x
кохати	k ɔ x ɑ t e
пестицид	p e s t e t͡s ɪ d
нейтралітет	n e i̯ t r ɐ lʲ i t ɛ t
повіки	p ɔ ʋʲ i k e
трохи	t r ɔ x e
ніс	nʲ i s
відпочивати	ʋʲ i d p ɔ t͡ʃ e ʋ ɑ t e
священик	sʲ ʋʲ ɐ ʃ t͡ʃ ɛ n e k
їжа	j i ʒ ɐ
судинний	s ʊ d ɪ nː e i̯
раніше	r ɐ nʲ i ʃ e
демонстрація	d e m ɔ n s t r ɑ t͡sʲ i j ɐ
симетрія	s e m e tʲ rʲ i j ɐ
індонезія	i n d ɔ n ɛ zʲ i j ɐ
вимова	ʋ e m ɔ ʋ ɐ
литвин	ɫ e t ʋ ɪ n
роман	r ɔ m ɑ n
перебільшити	p e r e bʲ i lʲ ʃ e t e
молоко	m ɔ ɫ ɔ k ɔ
вади	ʋ ɑ d e
сани	s ɑ n e
чайна	t͡ʃ ɐ i̯ n ɑ
конвенція	k ɔ n ʋ ɛ nʲ t͡sʲ i j ɐ
стандартом	s t ɐ n d ɑ r t ɔ m
від'їбатися	ʋʲ i d j i b ɑ t e sʲ ɐ
в'язниця	ʋ j ɐ z n ɪ t͡sʲ ɐ
виборі	ʋ ɪ b ɔ rʲ i
корабел	k ɔ r ɐ b ɛ ɫ
срібний	sʲ rʲ i b n e i̯
тістечко	tʲ i s t e t͡ʃ k ɔ
пуголовок	p u ɦ ɔ ɫ ɔ w ɔ k
абсурдистка	ɐ b s ʊ r d ɪ s t k ɐ
шпигун	ʃ p e ɦ u n
опитати	ɔ p e t ɑ t e
диплома	d e p ɫ ɔ m ɐ
фашизм	f ɐ ʃ ɪ z m
підмінювати	pʲ i dʲ mʲ i nʲ ʊ ʋ ɐ t e
глава	ɦ ɫ ɐ ʋ ɑ
внучка	w n u t͡ʃ k ɐ
слов'янками	s ɫ ɔ ʋ j ɑ n k ɐ m e
підняти	pʲ i dʲ nʲ ɑ t e
програмувати	p r ɔ ɦ r ɐ m ʊ ʋ ɑ t e
непокоїти	n e p ɔ k ɔ j i t e
морфологічний	m ɔ r f ɔ ɫ o ɦʲ i t͡ʃ n e i̯
бутан	b ʊ t ɑ n
кузен	k ʊ z ɛ n
незалежністю	n e z ɐ ɫ ɛ ʒ nʲ i sʲ tʲ ʊ
привчати	p r e u̯ t͡ʃ ɑ t e
присутність	p r e s u tʲ nʲ i sʲ tʲ
снідати	sʲ nʲ i d ɐ t e
америка	ɐ m ɛ r e k ɐ
саундтрек	s ɐ ʊ n d t r ɛ k
рейк'явік	r e i̯ k j ɑ ʋʲ i k
обґрунтувати	ɔ b ɡ r ʊ n t ʊ ʋ ɑ t e
метаболічний	m e t ɐ b o lʲ i t͡ʃ n e i̯
галушка	ɦ ɐ ɫ u ʃ k ɐ
тисячоліттях	t e sʲ ɐ t͡ʃ o lʲ i tʲː ɐ x
білолиций	bʲ i ɫ ɔ ɫ ɪ t͡s e i̯
патріотизмі	p ɐ tʲ rʲ i ɔ t ɪ zʲ mʲ i
чемпіон	t͡ʃ e m pʲ i ɔ n
ірина	i r ɪ n ɐ
авіамеханік	ɐ ʋʲ i ɐ m e x ɑ nʲ i k
випроменити	ʋ ɪ p r ɔ m e n e t e
оцінювати	o t͡sʲ i nʲ ʊ ʋ ɐ t e
чабер	t͡ʃ ɐ b ɛ r
тротуарів	t r ɔ t ʊ ɑ rʲ i u̯
друзям	d r u zʲ ɐ m
співбесідниця	sʲ pʲ i u̯ b e sʲ i d n e t͡sʲ ɐ
інтуїтивно	i n t ʊ j i t ɪ u̯ n ɔ
цап	t͡s ɑ p
галиця	ɦ ɑ ɫ e t͡sʲ ɐ
мандрувати	m ɐ n d r ʊ ʋ ɑ t e
поступці	p ɔ s t ʊ p t͡sʲ i
спідницями	sʲ pʲ i d n ɪ t͡sʲ ɐ m e
радість	r ɑ dʲ i sʲ tʲ
лов	ɫ ɔ u̯
отець	ɔ t ɛ t͡sʲ
двічі	dʲ ʋʲ i t͡ʃʲ i
дратувати	d r ɐ t ʊ ʋ ɑ t e
ластівка	ɫ ɑ sʲ tʲ i u̯ k ɐ
персональний	p e r s ɔ n ɑ lʲ n e i̯
помста	p ɔ m s t ɐ
постачати	p ɔ s t ɐ t͡ʃ ɑ t e
м'ясо	m j ɑ s ɔ
нирка	n ɪ r k ɐ
маргіналізація	m ɐ r ɦʲ i n ɐ lʲ i z ɑ t͡sʲ i j ɐ
вельможа	ʋ e lʲ m ɔ ʒ ɐ
причинність	p r e t͡ʃ ɪ nʲː i sʲ tʲ
елегантний	e ɫ e ɦ ɑ n t n e i̯
конотіп	k ɔ n o tʲ i p
артеріях	ɐ r t ɛ rʲ i j ɐ x
авангард	ɐ ʋ ɐ n ɦ ɑ r d
песимізм	p e s e mʲ i z m
комора	k ɔ m ɔ r ɐ
людина	lʲ ʊ d ɪ n ɐ
принести	p r e n e s t ɪ
авіатраса	ɐ ʋʲ i ɐ t r ɑ s ɐ
сусідство	s ʊ sʲ i d͡z s t w ɔ
рильцям	r ɪ lʲ t͡sʲ ɐ m
сатана	s ɐ t ɐ n ɑ
ікло	i k ɫ ɔ
відень	ʋʲ i d e nʲ
етика	ɛ t e k ɐ
спростити	s p r ɔ s t ɪ t e
абсорбування	ɐ b s ɔ r b ʊ ʋ ɑ nʲː ɐ
лев	ɫ ɛ u̯
раціональний	r ɐ t͡sʲ i ɔ n ɑ lʲ n e i̯
швейцарець	ʃ ʋ e i̯ t͡s ɑ r e t͡sʲ
намібія	n ɐ mʲ i bʲ i j ɐ
куди	k ʊ d ɪ
теплота	t e p ɫ ɔ t ɑ
ключовий	k lʲ ʊ t͡ʃ ɔ ʋ ɪ i̯
пхати	p x ɑ t e
більшати	bʲ i lʲ ʃ ɐ t e
дровця	d r ɔ u̯ t͡sʲ ɑ
фрагменту	f r ɐ ɦ m ɛ n t ʊ
реванш	r e ʋ ɑ n ʃ
шестигранний	ʃ e s t e ɦ r ɑ nː e i̯
зоря	z ɔ rʲ ɑ
нескладовий	n e s k ɫ ɐ d ɔ ʋ ɪ i̯
року	r ɔ k ʊ
сприйняти	s p r e i̯ nʲ ɑ t e
молекулярна	m ɔ ɫ e k ʊ lʲ ɑ r n ɐ
звідти	zʲ ʋʲ i d t e
інколи	i n k ɔ ɫ e
арфістка	ɐ r fʲ i s t k ɐ
вагання	ʋ ɐ ɦ ɑ nʲː ɐ
стримати	s t r ɪ m ɐ t e
батальйон	b ɐ t ɐ lʲ j ɔ n
нього	nʲ ɔ ɦ ɔ
орбіти	o r bʲ i t e
сповільнювати	s p ɔ ʋʲ i lʲ nʲ ʊ ʋ ɐ t e
банан	b ɐ n ɑ n
авізування	ɐ ʋʲ i z ʊ ʋ ɑ nʲː ɐ
астрономія	ɐ s t r ɔ n ɔ mʲ i j ɐ
щоках	ʃ t͡ʃ ɔ k ɑ x
вчити	ʍ t͡ʃ ɪ t e
автовагон	ɐ u̯ t ɔ ʋ ɐ ɦ ɔ n
любов	lʲ ʊ b ɔ u̯
конотоп	k ɔ n ɔ t ɔ p
афганістан	ɐ v ɦ ɐ nʲ i s t ɑ n
називати	n ɐ z e ʋ ɑ t e
перевалювати	p e r e ʋ ɑ lʲ ʊ ʋ ɐ t e
зозуля	z o z u lʲ ɐ
тяжкий	tʲ ɐ ʒ k ɪ i̯
приїжджати	p r e j i ʒ d͡ʒ ɑ t e
ємен	j ɛ m e n
солідарність	s ɔ lʲ i d ɑ r nʲ i sʲ tʲ
пандемічний	p ɐ n d e mʲ i t͡ʃ n e i̯
диск	d ɪ s k
надій	n ɐ dʲ i i̯
маслина	m ɐ s ɫ ɪ n ɐ
виразний	ʋ e r ɑ z n e i̯
безжальний	b e ʒː ɑ lʲ n e i̯
реанімація	r e ɐ nʲ i m ɑ t͡sʲ i j ɐ
неправді	n e p r ɑ u̯ dʲ i
брамо	b r ɑ m ɔ
щитоподібна	ʃ t͡ʃ e t ɔ p o dʲ i b n ɐ
пропорції	p r ɔ p ɔ r t͡sʲ i j i
безготівковий	b e z ɦ ɔ tʲ i u̯ k ɔ ʋ e i̯
чомусь	t͡ʃ o m u sʲ
скоро	s k ɔ r ɔ
постатям	p ɔ s t ɐ tʲ ɐ m
ночви	n ɔ t͡ʃ ʋ e
шено	ʃ ɛ n ɔ
здатен	z d ɑ t e n
брест	b r ɛ s t
включати	ʍ k lʲ ʊ t͡ʃ ɑ t e
були	b ʊ ɫ ɪ
сформулювати	s f ɔ r m ʊ lʲ ʊ ʋ ɑ t e
рівність	rʲ i u̯ nʲ i sʲ tʲ
багато	b ɐ ɦ ɑ t ɔ
шкідливий	ʃ kʲ i d ɫ ɪ ʋ e i̯
автоматично	ɐ u̯ t ɔ m ɐ t ɪ t͡ʃ n ɔ
спостерегти	s p ɔ s t e r e ɦ t ɪ
виразно	ʋ e r ɑ z n ɔ
короп	k ɔ r ɔ p
городянин	ɦ ɔ r ɔ dʲ ɑ n e n
довгий	d ɔ u̯ ɦ e i̯
шкіру	ʃ kʲ i r ʊ
салдат	s ɐ ɫ d ɑ t
слівцю	sʲ lʲ i u̯ t͡sʲ u
випити	ʋ ɪ p e t e
самодостатній	s ɐ m ɔ d ɔ s t ɑ tʲ nʲ i i̯
обмежувати	ɔ b m ɛ ʒ ʊ ʋ ɐ t e
молодиці	m ɔ ɫ ɔ d ɪ t͡sʲ i
споживачів	s p ɔ ʒ e ʋ ɐ t͡ʃʲ i u̯
ананас	ɐ n ɐ n ɑ s
порядковий	p ɔ rʲ ɐ d k ɔ ʋ e i̯
слівцем	sʲ lʲ i u̯ t͡s ɛ m
чудовисько	t͡ʃ ʊ d ɔ ʋ e sʲ k ɔ
стабілізувати	s t ɐ bʲ i lʲ i z ʊ ʋ ɑ t e
незамінність	n e z ɐ mʲ i nʲː i sʲ tʲ
повстати	p ɔ u̯ s t ɑ t e
лауреат	ɫ ɐ ʊ r e ɑ t
аналогічний	ɐ n ɐ ɫ o ɦʲ i t͡ʃ n e i̯
збагатити	z b ɐ ɦ ɐ t ɪ t e
взаємоповага	w z ɐ j e m ɔ p ɔ ʋ ɑ ɦ ɐ
тонкий	t ɔ n k e i̯
шведка	ʃ ʋ ɛ d k ɐ
обговорювати	ɔ b ɦ ɔ w ɔ rʲ ʊ ʋ ɐ t e
система	s e s t ɛ m ɐ
віл	ʋʲ i ɫ
варіантами	ʋ ɐ rʲ i ɑ n t ɐ m e
віковічний	ʋʲ i k ɔ ʋʲ i t͡ʃ n e i̯
заспокоювати	z ɐ s p ɔ k ɔ j ʊ ʋ ɐ t e
автобусик	ɐ u̯ t ɔ b ʊ s e k
сауна	s ɑ ʊ n ɐ
принижувати	p r e n ɪ ʒ ʊ ʋ ɐ t e
однина	ɔ d n e n ɑ
замощувати	z ɐ m ɔ ʃ t͡ʃ ʊ ʋ ɐ t e
вибрати	ʋ ɪ b r ɐ t e
знак	z n ɑ k
міжурядовий	mʲ i ʒ ʊ rʲ ɐ d ɔ ʋ e i̯
самостійність	s ɐ m o sʲ tʲ i i̯ nʲ i sʲ tʲ
плавчиня	p ɫ ɐ u̯ t͡ʃ ɪ nʲ ɐ
багатолітній	b ɐ ɦ ɐ t o lʲ i tʲ nʲ i i̯
заохотити	z ɐ ɔ x ɔ t e t e
герцогиня	ɦ e r t͡s ɔ ɦ ɪ nʲ ɐ
господинями	ɦ ɔ s p ɔ d ɪ nʲ ɐ m e
лякатися	lʲ ɐ k ɑ t e sʲ ɐ
рильцями	r ɪ lʲ t͡sʲ ɐ m e
покупка	p o k u p k ɐ
виживати	ʋ e ʒ e ʋ ɑ t e
свердловина	s ʋ e r d ɫ ɔ ʋ ɪ n ɐ
ющенко	j u ʃ t͡ʃ e n k ɔ
вітряний	ʋʲ i tʲ rʲ ɐ n e i̯
кросівка	k r o sʲ i u̯ k ɐ
авіатравма	ɐ ʋʲ i ɐ t r ɑ u̯ m ɐ
друже	d r u ʒ e
плівка	p lʲ i u̯ k ɐ
плавець	p ɫ ɐ ʋ ɛ t͡sʲ
абляція	ɐ b lʲ ɑ t͡sʲ i j ɐ
