देवनागरी	d̪eʋnɑɡɑri
#टकटक्याहा	ʈ ə k ʈ ə k j a: ʱ a:
अश्रुत	ə ʃ r u t̪
कलाकौशल	k ə l a: k au ʃ ə l
प्रशंसा	p r ə ʃ ə n s a:
पीडा	p i: ɖ a:
कुरकुर	k u r ə k u r
ला	l a:
सरदार	s ə r d̪ a: r
आच्छन्न	ɑ: t͡ʃʰ ə n ə n
चटपटे	t͡ʃ ə ʈ p ə ʈ e:
छुरबुर	t͡ʃʰ u r ə b u r
बियाउ	b i j a: u
मेख	m e kʰ
जम्बु	d͡z ə m b u
कडकड	k ə ɖ ə k ə ɖ
अवलुञ्चित	ə v ə l u ɲ t͡ʃ i t̪
बग्रेन	b ə ɡ r e: n
झेली	d͡zʱ e: l i:
चर्	t͡ʃ ə r
छरीदार	t͡ʃʰ ə r i: d̪ a: r
चिम्टे	t͡ʃ i m ʈ e:
सिकुटी	s i k u ʈ i:
ह्रास	ʱ r a: s
पटेर	p ə ʈ e r
बुढिया	b u ɖʱ i j a:
झ्याम्म	d͡zʱ j a: m: m
आर्वर	ɑːrʋər
चिरन्तन	t͡ʃirəntən
पल्टन	pəlʈən
लुँदो	lʊ̃do
गुँडुलि	ɡʊ̃ɖuli
जाँते	d͡ʒɑ̃ːte
दुर्व्यवहार	durʋjəʋəɦɑːr
राजाराम	rɑːd͡ʒɑːrɑːm
झूटो	d͡ʒʱuːʈo
तुरी	turi
कामोद्दीपक	kɑːmodːiːpək
फुर्ती	pʰurti
घृणास्पद	ɡʱr̩ɳɑːspəd
बहस	bəɦəs
धतुलाउ	dʱətulɑːu
ज्वालामुखी	d͡ʒʋɑːlɑːmukʰi
आडिलो	ɑːɖilo
थपड	tʰəpəɖ
थुप्रो	tʰupro
झेल	d͡ʒʱel
पागल	pɑːɡəl
बोको	boʈo
जुत्ता	d͡ʒuttɑː
माउ	mɑːu
असबल्ले	əsəbəlle
बेगल	beɡəl
होड	ɦoɖ
माओ	mɑːo
जर्कट	d͡ʒərʈəʈ
रामेश्वर	rɑːmeʃʋər
ढलिमली	ɖʱəliməli
आधुनिक	ɑːdʱunik
ट्रेडिङ	ʈreɖiŋ
जौ	d͡ʒau
वायरलेस	ʋɑːjərəles
गुहार	ɡuhɑːr
पद	pəd
भक्खर	bʱəkʰər
मुस्लिम	musəlim
पहिरो	pəɦiro
पाकेट	pɑːkeʈ
रुपा	rupɑː
पेन्टिङ	pent̪iŋ
ड्वाङ्ग	ɖʋɑːŋɡ
रूहु	ruhu
जुम्ल्याहा	d͡ʒumljɑːhɑː
पूर्ण	purn
परिवार	pəriʋɑːr
भूउपग्रह	bʱuːupəɡrəɦ
सानोठिमी	sɑːnoʈʰimi
त्यता	t̪ j ʌ t̪ ä
जिबुल्ले	d͡ʒ i b u l l e
मानमर्यादा	m ä n ʌ m ʌ r j ä d̪ ä
अपसारी	ʌ p s ä r i
गोल्छा	ɡ o l t͡ʃʰ ä
गुणहीन	ɡ u ɳ ʌ i n
भ्यार्र	bʱ j ä r r
वाक्यविश्लेषण	b ä k j ʌ b i ʃ l e ʃ ʌ n
मिसोट	m i s o ʈ
काठ	k ä ʈʰ
वृद्धभत्ता	b ɾ i d̪ʱ ʌ bʱ ʌ t̪ t̪ ä
उपसमिति	u p ʌ s ʌ m i t̪ i
चुक्कि	t͡ʃ u k k i
महासन्धि	m ʌ ɦ ä s ʌ n d̪ʱ i
मिलाप	m i l ä p
जिब्रो	d͡ʒ i b r o
युगौँ	j u ɡ̞ ʌ̃
ब्यबहार	b j ʌ b ʌ ɦ ä r
आला	ä l ä
थच्कार्	ʈʰ ʌ t͡ʃ k ä r
बोध	b o d̪ʱ
झञ्झावर्णन	d͡zʱ ʌ̃ d͡zʱ ä b ʌ r n ʌ n
अतिक्रमण	ʌ t̪ i k r ʌ m ʌ n
पुग्	p u ɡ
ठक्रक्क	ʈʰ ʌ k r ʌ k k
तरखर	t̪ ʌ r ʌ kʰ ʌ r
प्रवाह	p r ʌ b ä ɦ
प्रशंसा	p r ʌ ʃ ã s ä
चिरस्मरणीय	t͡ʃ i r ʌ s m ʌ r ʌ n i j
झट्याक	d͡zʱ ʌ ʈ j ä k
मद्यपान	m ʌ d̪ j ʌ p ä n
करकाप	k ʌ r ʌ k ä p
कढी	k ʌ ɖ i
रल्लि	r ʌ l l i
बल्ड्याङ्ङ	b ʌ l ɖ j ä ŋ ŋ
कन्दने	k ʌ n d̪ ʌ n e
पिरिक्क	p i r i k k
ऊ	u
इकार	i k ä r
जलन	d͡ʒ ʌ l ʌ n
उसिसनिसिस	u s i s ʌ n i s i s
भुक्लुक्क	bʱ u k l u k k
कच्चो	k ʌ t͡ʃ t͡ʃ o
घैले	ɡʱ ä i l e
वेषभूषा	b e ʃ ʌ bʱ u ʃ ä
व्यतिरेक	b j ʌ t̪ i r e k
ठकठकी	ʈʰ ʌ k ʈʰ ʌ k i
उत्तरदायित्त्व	u t̪ t̪ ʌ r d̪ ä j i t̪ t̪ b
लम्चि	l ʌ m t͡ʃ i
टेबल	ʈ e b ʌ l
वायुमण्डल	v ɑː j u m ʌ n ɖ ʌ l
एकजीउ	e k ʌ d͡ʒ iː u
भर्र	bʱ ʌ r r
जत्ति	d͡ʒ ʌ t t i
सन्तानब्बे	s ʌ n t ɑː n ʌ b b e
झूर	d͡ʒ ʰ uː r
लौरी	l ɔː r iː
बिलो	b i l o
जुरे	d͡ʒ u r e
पुछार	p u t͡ʃ ɑː r
खिचखिच	kʰ i t͡ʃ kʰ i t͡ʃ
अधिवक्ता	ʌ dʱ i v ʌ k t ɑː
चिरबिरे	t͡ʃ i r ʌ b i r e
खुँडे	kʰ ʌ̃ ɖ e
जहाजी	d͡ʒ ʌ ɦ ɑː d͡ʒ iː
वरपर	v ʌ r p ʌ r
लर्याङतर्याङ	l ʌ r j ɑː ŋ t ʌ r j ɑː ŋ
भाँडाकुँडा	bʱ ɑ̃ ɖ ɑː k ʌ̃ ɖ ɑː
आफन्तजन	ɑː f ʌ n t ʌ d͡ʒ ʌ n
काव्यचेतना	k ɑː v j ʌ t͡ʃ e t ʌ n ɑː
उन्मादपन	u n m ɑː d p ʌ n
धोखा	dʱ o kʰ ɑː
अन्तर्त्वचा	ʌ n t ʌ r t v ʌ t͡ʃ ɑː
गतिमान	ɡ ʌ t i m ɑː n
जन्ड	d͡ʒ ʌ n ɖ
सपेटो	s ʌ p e t o
बखान्	b ʌ kʰ ɑː n
सम्झौतापत्र	s ʌ m d͡ʒ ɔː t ɑː p ʌ t r
छकाउ	t͡ʃʰ ʌ k ɑː u
गोठालो	ɡ o tʰ ɑː l o
घोरतर	ɡʱ o r ʌ t ʌ r
भन्सार	bʱ ʌ n s ɑː r
छुमछुम	t͡ʃʰ u m t͡ʃʰ u m
आमन्त्रित	ɑː m ʌ n t r i t
थ्वाप्प	tʰ w ɑː p p
ओकल्	o k ʌ l
वरणी	v ʌ r ʌ n iː
कत्थक	k ʌ tʰ tʰ ʌ k
कलनाद	k ʌ l ʌ n ɑː d
लसपस	l ʌ s ʌ p ʌ s
क्यापिटल	k j ɑː p i t ʌ l
सदा	s ʌ d ɑː
विनोदकुमार	v i n o d ʌ k u m ɑː r
चिम्रे	t͡ʃ i m r e
गव्य	ɡ ʌ v j ʌ
टोप्रो	ʈ o p r o
खटिरा	kʰ ʌ ʈ i r ɑː
घत्रक्क	ɡʱ ʌ t r ʌ k k
अवतीर्ण	ʌ v ʌ t iː r ɳ
यन्त्र	j ʌ n t r
हरिभक्त	ɦəɾibʱəkt̪
जर्कट	d͡ʒəɾkʈ
चाट्	t͡ʃɑːʈ
अडियल	əɖijəl
योजना	jɔd͡ʒənɑː
सहटाउ	səɦʈɑːu
परिपाटी	pəɾipɑːʈiː
गज	ɡəd͡ʒ
लडाइँ	ləɖɑːĩ
थेग्रि	ʈʰeɡɾi
धारणा	dʱɑːɾənɑː
छूती	t͡ʃʰuːtiː
समयाङ्कन	səməjɑːŋkən
घुइँकि	ɡʱuĩki
घराना	ɡʱəɾɑːnɑː
आशंसित	ɑːʃə̃sit
मनुज	mənud͡ʒ
घ्न	ɡʱnə
राइजिङ	rɑːid͡ʒiŋ
शब्दकोष	ʃəbdəkoʃ
दीप्‍ति	diːpti
सजीव	səd͡ʒiːv
सतिसाल	sətisɑːl
कल्पक	kəlpək
कोको	kɔkɔ
द्वित्व	dʋitʋə
लक्ष्मी	ləkʂmiː
उडालु	uɖɑːlu
जेठानी	d͡ʒeʈʰɑːniː
तौली	tɔliː
च्यापु	t͡ʃjɑːpu
चौगुना	t͡ʃɔɡunɑː
भित्ता	bʱittɑː
डगमग	ɖəɡməɡ
खोल	kʰɔl
खोल्सी	kʰɔlsiː
सुइय्य	suijːə
सङ्गीन	səŋgiːn
श्री	ʃriː
रुपरेखा	rupərekʰɑː
बुकुरा	bukurɑː
पहिरन	pəɦirən
सुक्	suk
लता	lətɑː
जबरजस्ती	d͡ʒəbərd͡ʒəstiː
प्रान्त	prɑːnt̪ə
तीक्ष्णता	tiːkʂɳət̪ɑː
रामनारायण	rɑːmənɑːrɑːjəɳ
कुर्कुच्चा	kurkut͡ʃt͡ʃɑː
छात्रछात्रा	t͡ʃɑːtrət͡ʃɑːtrɑː
कठोरपन	kʌʈʰoɾpʌn
घेरा	ɡʱeɾʌ
चुरुक्क	t͡ʃuɾukk
नमज्जा	nʌmʤʌ
सुकसुक	sukʌsuk
गिजोल्	ɡiʤol
तालिम	tɑːlim
अलख	ʌlʌkh
अरक्षित	ʌɾʌkʂit
मुख	mukʰ
कृतक	kɾitʌk
वाक्यविश्लेषण	vɑːkjʌviʃleʂʌn
विश्वशान्ति	viʃvʌʃɑːnti
राजनेता	rɑːʤʌnet̪ɑː
कोठा	kot̪ʰɑː
दृष्टान्त	dɾiʂt̪ɑːnt
पृष्ठसाइज	pɾiʂt̪ʰsɑːid͡z
ताण्डव	tɑːɳɖʌv
बदनाम	bʌdʌnɑːm
धर्ता	dʱʌrt̪ɑː
थ्वाप्प	t̪ʰvɑːpp
वसन्तपञ्चमी	vʌsʌntʌpʌɲt͡ʃmiː
छडछड	t͡ʃʌɖt͡ʃʌɖ
कात्	kɑːt
वाहन	vɑːhʌn
उत्पादी	ut̪pɑːdiː
फतरि	pʰʌt̪ʌri
लत्ताकपडा	lʌt̪t̪ɑːkʌpʌɖɑː
अविवेक	ʌvivek
बबरमहल	bʌbʌrmʌhʌl
गिर्खा	ɡirkʰɑː
गार्डेन	ɡɑːɾɖen
अथाह	ʌt̪ʰɑːh
लेनिनवाद	leninvɑːd
जगण	ʤʌɡʌɳ
मनाङ	mʌnɑːŋ
फ्यासफ्यास	pʰjɑːspʰjɑːs
हृदय	hridʌj
सुइरो	suiro
बिरानो	birɑːno
साग्रह	sɑːgrʌh
छूताछूत	t͡ʃʰuːt̪ɑːt͡ʃʰuːt
हिमगिरि	himʌgiri
लर्याङतर्याङ	lʌrjɑːŋt̪ʌrjɑːŋ
आदर्शवादी	ɑːdʌrʃvɑːdiː
भ्वाँङ्ग	bʱvɑːŋɡ
चीनी	t͡ʃiːniː
समस्तर	sʌmʌst̪ʌr
हिमचुली	himʌt͡ʃuliː
चवालीसौं	t͡ʃʌvɑːlisɔ̃
अभिशाप	ʌ bʱ i ʃ ɑː p
छलक्क	t͡ʃʰ ʌ l ʌ k̚ k
अवच्छिन्न	ʌ b ʌ t͡ʃʰ i nː
हतपती	ɦ ʌ t̪ ʌ p ʌ t̪ i
कम्ती	k ʌ m t̪ i
जीन	d͡ʒ iː n
वरणी	b ʌ r ʌ n iː
ओकल्	o k ʌ l
इनेगिने	i n e ɡ i n e
पघार्	p ʌ ɡʱ ɑː r
अहिंस्रक	ʌ ɦ ĩ s r ʌ k
कर्कि	k ʌ r k i
गणतन्त्रीय	ɡ ʌ n ʌ t̪ ʌ n t̪ r iː j
छिटपुट	t͡ʃʰ i t̪ ʌ p ʊ t̪
कुञ्‍ज	k u ɲ d͡ʒ
माइक्रोप्रोसेसर	m ɑː i k r o p r o s e s ʌ r
उबडखाबड	u b ʌ d̪ kʰ ɑː b ʌ d̪
रगत	r ʌ ɡ ʌ t̪
चन्द्रिका	t͡ʃ ʌ n d̪ r i k ɑː
प्रकृतिप्रेम	p r ʌ k r i t̪ i p r e m
अन्यथा	ʌ n j ʌ t̪ʰ ɑː
थर्क	t̪ʰ ʌ r k
समादर	s ʌ m ɑː d̪ ʌ r
कर्णपट	k ʌ r n ʌ p ʌ t̪
कल्याण	k ʌ l j ɑː n
टुप्पो	t̪ u p p o
भतभती	bʱ ʌ t̪ ʌ bʱ ʌ t̪ i
सारङ्ग	s ɑː r ʌ ŋ ɡ
कस्कुटो	k ʌ s k u t̪ o
ठेस्सि	t̪ʰ e s s i
एक्युपङ्चर	e k j u p ʌ ŋ t͡ʃ ʌ r
हत्तपत्त	ɦ ʌ t̪ t̪ ʌ p ʌ t̪ t̪
झिन्नि	d͡ʒʱ i nː i
चर्	t͡ʃ ʌ r
चुक	t͡ʃ u k
वहि	b ʌ ɦ i
कोप्रि	k o p r i
आत्मपरक	ɑː t̪ m ʌ p ʌ r ʌ k
पृष्ठसाइज	p r i ʃ t̪ʰ s ɑː i d͡ʒ
अधिकारवाला	ʌ d̪ʱ i k ɑː r b ɑː l ɑː
एकजाति	e k d͡ʒ ɑː t̪ i
क्रमाङ्कन	k r ʌ m ɑː ŋ k ʌ n
टलल्ल	t̪ ʌ l ʌ l
सुक्	s u k
अपरेटर	ʌ p ʌ r e t̪ ʌ r
बित्थै	b i t̪ t̪ʰ ɑː i
निश्‍चय	n i ʃ t͡ʃ ʌ j
देवेन्द्र	d̪ e b e n d̪ r ʌ
अवधि	ʌ b ʌ d̪ʱ i
सट्याकसुटुक	s ʌ t̪ j ɑː k ʌ s u t̪ u k

    लेखपढ	l e kʰ p ʌ d̪
नेमकिपा	n e m ʌ k i p ä
गुपचुप	ɡ u p ʌ t͡ʃ u p
रोटी	r o ʈ i
करङ	k ʌ r ʌ ŋ
सिल	s i l
लडे	l ʌ d̪ e
जापान	d͡ʒ ä p ä n
जलजलाउँदो	d͡ʒ ʌ l d͡ʒ ʌ l ä u̯ n d o
कोच्	k o t͡ʃ
टपरे	ʈ ʌ p ʌ r e
मुल्कि	m u l k i
अक्षरात्मक	ʌ kʃ ʌ r ä t̪ m ʌ k
सृजनशीलता	s ɾ i d͡ʒ ʌ n ʃ i l ʌ t̪ ä
पाँडे	p ä̃ d̪ e
परिपक्वता	p ʌ r i p ʌ k w ʌ t̪ ä
उच्छेदन	u t͡ʃʰ e d ʌ n
उत्पीडन	u t̪ p i d̪ ʌ n
मिलन	m i l ʌ n
लिपि	l i p i
अरस	ʌ r ʌ s
अहह	ʌ ɦ ʌ ɦ
जटे	d͡ʒ ʌ ʈ e
शुद्धाशुद्धि	ʃ u d̪ʱ ä ʃ u d̪ʱ i
उहुँ	u ɦ ũ
निखार	n i kʰ ä r
पुतौरो	p u t̪ ʌ u̯ r o
खलिकपुर	kʰ ʌ l i k ʌ p u r
पार्षद	p ä r ʃ ʌ d̪
अबोधव्यक्ति	ʌ b o d̪ʱ ʌ b j ʌ k t̪ i
होमाइ	ɦ o m ä i
अफलाइन	ʌ pʰ l ä i n
जिरिङ्ग	d͡ʒ i r i ŋ ɡ
तीर्थयात्रा	t̪ i r ʈʰ j ä t̪ r ä
एक्काईस	e k̚ k ä i s
तमोर	t̪ ʌ m o r
चन्द्रशेखर	t͡ʃ ʌ n d̪ r ʌ ʃ e kʰ ʌ r
सेनानी	s e n ä n i
खोजी	kʰ o d͡ʒ i
द्यौता	d̪ j ʌ u̯ t̪ ä
तुलसीपुर	t̪ u l ʌ s i p u r
बिगौती	b i ɡ̞ ʌ u̯ t̪ i
आत्मघाती	ä t̪ m ʌ ɡʱ ä t̪ i
नपुङ्सक	n ʌ p u ŋ s ʌ k
महत्ता	m ʌ ɦ ʌ t̪ t̪ ä
अपस्मार	ʌ p ʌ s m ä r
आम्खोरा	ä m kʰ o r ä
लेखनी	l e kʰ ʌ n i
मङ्गलाचरण	m ʌ ŋ ɡ ʌ l ä t͡ʃ ʌ r ʌ n
कठोरपन	k ʌ ʈʰ o r p ʌ n
गलकट्टा	ɡ ʌ l k ʌ ʈ ʈ ä
डाइनी	ɖ ä i n i
नीम	n iː m
क्रान्तिवादी	k r ä n ʈ i ʋ ä ɖ i
असुरक्षा	ʌ s u r ʌ k ʃ ä
दन्तशूल	ɖ ʌ n ʈ ʌ ʃ uː l
आदेशक	ä ɖ e ʃ ʌ k
धानबाली	ɖʱ ä n ʌ b ä l i
उछिल्ल्याहा	u t͡ʃ i l l j ä ɦ ä
उपहास	u p ʌ ɦ ä s
जम्क	d͡ʒ ʌ m k
लत्र्याँस्स	l ʌ t̪ r j ä̃ s s
गँजडी	ɡ ä̃ d͡ʒ ɖ i
भ्यार्र	bʱ j ä r r
कुँडुलि	k ũ̯ ɖ u l i
प्रसार	p r ʌ s ä r
अकड	ʌ k ʌ ɖ
ह्वाप्प	ɦ ʋ ä p p
ओभाउ	o bʱ ä u
तोड	ʈ o ɖ
खाका	kʰ ä k ä
कुर्ता	k u r ʈ ä
रौतहट	r ʌ u t̪ ʌ ɦ ʈ
फुल्चोकी	pʰ u l t͡ʃ o k i
दासत्व	ɖ ä s ʌ t̪ ʋ
खोइरो	kʰ o i r o
खोसेल्टि	kʰ o s e l ʈ i
सम	s ʌ m
टुप्पो	ʈ u p p o
दुर्दशा	ɖ u r ɖ ʌ ʃ ä
चुकअमिलो	t͡ʃ u k ʌ m i l o
सहृयार्	s ʌ ɦ r j ä r
पुछार	p u t͡ʃ ä r
औपपत्तिक	ʌ u p ʌ p ʌ ʈ ʈ i k
विशृङ्खलता	ʋ i ʃ r ŋ kʰ l ʌ t̪ ä
सोलि	s o l i
अन्दोलन	ʌ n ɖ o l ʌ n
अक्रम	ʌ k r ʌ m
फुत्रुक्क	pʰ u ʈ r u k k
सप्को	s ʌ p k o
टेक	ʈ e k
अह्राउ	ʌ ɦ r ä u
हुप	ɦ u p
एक्कासि	e k k ä s i
स्वाइँस्वाइँती	s ʋ ä ĩ s ʋ ä ĩ t̪ i
बौद्धिकता	b ʌ u ɖ ɖʱ i k ʌ t̪ ä
डट	ɖ ʌ ʈ
इञ्जिनियर	i ŋ d͡ʒ i n i ʌ r
मतभेद	m ʌ t̪ ʌ bʱ e ɖ
अन्तरी	ʌ n ʈ ʌ r i
घण्टी	ɡʱʌɳʈi
मट्टै	mʌʈʈai
स्याहार	sjahaɾ
डुँडाउ	ɖʌ̃ɖau
कमिलो	kamilo
सदा	sada
ज्यामी	d͡ʒjam̚i
अगम्य	aɡamja
जिउ	d͡ʒiu
लिपि	lipi
बोध	bodʱ
आँक	ãk
अपजस	apd͡ʒas
शशक्तिकरण	ʃaʃaktikaran
अल्बानीया	albanija
सँगेल्	sãɡel
एम्बुलेन्स	embulens
सिप्किनु	sipkinu
ताण्डव	tandaʋ
सिलेट	silet
तड्प	tʌɖp
वक्र	ʋakɾ
चुड्का	t͡ʃʌɖka
अनुक्रमण	anukraman
छामछुम	t͡ʃhamt͡ʃhum
चीनी	t͡ʃini
खतम	kʰatam
तलेजु	taleʤu
सिलौटो	silauʈo
टोकाइ	ʈokai
मध्यस्थता	madhjastʰata
सइस	sais
अभिराम	abhiram
खर्लप्प	kʰarlapː
लाजवती	lad͡ʒʋati
साग्रह	sagrah
कोलम्बो	kolambo
ताउलो	taulo
अन्तर्विकास	antarʋikas
पलाउ	palau
दपेटाइ	dapetai
मध्यनजर	madhjanad͡ʒar
परख	parakh
संयम	sanjam
कुञ्‍ज	kʊɲd͡ʒ
गबुल्लो	gabullo
पानीजहाज	paːniːd͡ʒahaːd͡ʒ
उल्टाइ	ulʈai
आलोक	alok
खिस्सा	kʰissa

    सुविस्ता	s u v i s t̪ ä
माउ	m ä u
कार्यव्यापार	k ä r j ʌ v j ä p ä r
भरोसा	bʱ ʌ r o s ä
चण्ड	t͡s ʌ ɳ ɖ
जन्ड	d͡ʒ ʌ n ɖ
एकोतार	e k o t ä r
उगाउ	u ɡ ä u
साकेवा	s ä k e v ä
स्क्यान	s k j ä n
उपक्षेत्रीय	u p ʌ kʃ e t̪ r i j ä
पितित्त	p i t̪ i t̪ t̪
कुस्तुर	k u s t̪ u r
बालक	b ä l ʌ k
सिकुटी	s i k u ʈ i
ब्लुमफिल्ड	b l u m ʌ pʰ i l ɖ
शेखर	ʃ e kʰ ʌ r
कोलाहल	k o l ä ɦ ʌ l
फलैँचा	pʰ ʌ l ä̃ t͡s ä
रामपुर	r ä m p u r
सम्भ्रम	s ʌ m bʱ r ʌ m
दपेटाइ	d ʌ p e ʈ ä i
तिम्रो	t̪ i m r o
ओल्छि	o l t͡sʰ i
जाँते	d͡ʒ ä̃ t̪ e
लोग्ने	l o ɡ̞ n e
सतराज	s ʌ t̪ ʌ r ä d͡ʒ
प्रभा	p r ʌ bʱ ä
तिर्सना	t̪ i r s ʌ n ä
सन्जे	s ʌ n d͡ʒ e
कृतक	k ɾ i t̪ ʌ k
गुरगुरी	ɡ u r ɡ u r i
गथासो	ɡ ʌ t̪ʰ ä s o
अभिनव	ʌ bʱ i n ʌ v
सनातन	s ʌ n ä t̪ ʌ n
खिलाफ	kʰ i l ä ʌ pʰ
पटेर	p ʌ ʈ e r
नाक	n ä k
चल	t͡s ʌ l
लठैत	l ʌ ʈʰ ä i t̪
उपास्य	u p ä s j ä
पाण्डव	p ä ɳ ɖ ʌ v
बिल्टो	b i l ʈ o
रसिद	r ʌ s i d
दर्शनशास्त्र	d ʌ r ʃ ʌ n ʃ ä s t̪ r
धुरी	dʱ u r i
टपटप	ʈ ʌ p ʈ ʌ p
पास	p ä s
झुल्कि	d͡zʱ u l k i
जहडी	d͡ʒ ʌ ɦ ʌ d i
आरोप्य	ɑːɾopjə
सङ्गति	səŋɡəti
हिसाबकिताब	hisɑːbkitɑːb
लिखु	likʰu
झुरुमुरु	d͡ʒʰuɾumuɾu
नब्बे	nəbbe
डीएनए	ɖiːenə
दण्डसजाय	dəɳɖəsəd͡ʒɑːj
अश्रान्त	əʃɾɑːnt
उल्लु	ullu
चिरस्मरणीय	t͡ʃirəsməɾəɳijə
खर्लप्प	kʰəɾləppə
याँ	jɑː̃
बिसौनी	bisəuni
वास्तुविद	vɑːstuvəd
उद्‌भासी	udbʱɑːsi
बढिया	bəɖʱijɑː
जिउनी	d͡ʒiuni
खटाखट	kʰəʈɑːkʰəʈ
डल्लेँठो	ɖəllẽʈʰo
आमाछोरी	ɑːmɑːt͡ʃʰori
ब्यानर	bjɑːnəɾ
उघाउ	uɡʱɑːu
वस्तु	vəstu
छिपछिप	t͡ʃʰipət͡ʃʰip
उद्‌भावित	udbʱɑːvit
प्रवाह	pɾəvɑːh
पुत्र	putɾə
छुरो	t͡ʃʰuro
धोका	dʰokɑː
तरफ	təɾəf
भाडा	bʱɑːɖɑː
चौसट्ठी	t͡ʃəusəʈʰi
उचित	ut͡ʃit
खुँडे	kʰũɖe
कृतक	kɾitək
गम्भीरता	ɡəmbʱiːɾətɑː
चोरऔंले	t͡ʃorəũle
ह्वासह्वास	hvɑːsəhvɑːs
अविवेक	əvəvek
प्रेमकथा	pɾeməkətʰɑː
फाल	fɑːl
उम्दा	umdɑː
तन	tən
कारीगर	kɑːɾigəɾ
निस्कासन	niskɑːsən
अनिन्द्य	ənindjə
जिल्लाराम	d͡ʒillɑːɾɑːm
जयस्थिति	d͡ʒəjəstʰiti
चर्यामचुरुम	t͡ʃərjɑːmət͡ʃuɾum
खौवा	kʰaʊʋa
फ्रेमसेट	pʰɾeːmset̪
देवीप्रसाद	d̪eʋiːpɾasaːd̪
बेहोर्	bɛhoɾ
खाँज	kʰãːd͡ʒ
बत्ती	bʌt̪t̪iː
सन्दुक	sʌnd̪ʊk
कनसुत्ली	kʌnʌsʊt̪liː
बोटे	boʊʈe
सम्भोग	sʌmbʰoɡ
मङ्गलाचरण	mʌŋɡʌlaːt͡ʃʌɾʌn
वृहस्पतिवार	ʋɾ̩ɦʌspʌt̪iʋaːɾ
द्विज	d̪ʋid͡ʒ
उपमान	ʊpʌmaːn
रामकुमारी	ɾaːmʌkʊmaːɾiː
निप्ट	nipʈ
डिनर	ɖinʌɾ
आरोपक	aːɾoːpʌk
अविवेक	ʌʋiʋeːk
सावा	saːʋaː
र्‍याल	ɾjaːl
कर्णफूल	kʌɾɳʌpʰuːl
निजीक्षेत्र	nid͡ʒiːkʃet̪ɾ
कमलनाभ	kʌmʌlnaːbʰ
परिच्छेद	pʌɾit͡ʃʰed̪
क्रिकेट	kɾiket̪
अभिवन्दनीय	ʌbʰiʋʌnd̪ʌniːjʌ
एकत्र	ekʌt̪ɾ
दहिलो	d̪ʌɦilo
हाइटी	ɦaːit̪iː
उद्‌गार	ʊd̪ɡaːɾ
राजबन्दी	ɾaːd͡ʒbʌnd̪iː
ससीम	sʌsiːm
