चपेटा	t͡ʃʌpʌʈʌ
दापा	d ɑː p ɑː
रक्सौल	r ʌ k s ɔː l
खुरुङ्गो	kʰ u r u ŋ g o
ख्याक्क	kʰ j ɑː k k
जम्बु	ʤ ʌ m b u
बत्ती	b ʌ t t iː
कल्पक	k ʌ l p ʌ k
अर्घौतो	ʌ r gʰ ɔː t o
सराप्	s ʌ r ɑː p
गणतन्त्री	g ʌ n ʌ t ʌ n t r iː
सुकसुक	s u k ʌ s u k
केशव	k eː ʃ ʌ v
उग्रवाद	u g r ʌ v ɑː d
आँखीभुईँ	ɑː ŋ kʰ iː bʰ u ĩ
झिँजोल्	ʤʰ ĩ ʤ o l
बिङ्गो	b i ŋ g o
अभिबृद्धि	ʌ bʰ i b r ʌ dʰ i
फुत्रुक्क	pʰ u t r u k k
झोक्का	ʤʰ o k k ɑː
खाल	kʰ ɑː l
औस्या	ɔː s j ɑː
फ्याक्स	pʰ j ɑː k s
विकास	v i k ɑː s
बान्की	b ɑː n k iː
बेल्ट	b eː l ʈ
स्वालस्वाल	s w ɑː l s w ɑː l
अभिशाप	ʌ bʰ i ʃ ɑː p
अभुक्त	ʌ bʰ u k t
आचमन	ɑː tʃ ʌ m ʌ n
हप्कीदप्की	ɦ ʌ p k iː d ʌ p k iː
कोफी	k o pʰ iː
चर्	tʃ ʌ r
हिमचुली	ɦ i m ʌ tʃ u l iː
प्वाँख	p w ɑː ŋ kʰ
पट्याउ	p ʌ ʈ j ɑː u
