'day	ˈd a j
Abellera	ʔ a b e l ˈj e ɾ a
abelyana	ʔ a b e l ˈj a n a
abelyano	ʔ a b e l ˈj a n o
abenida	ʔ a b e ˈn i d a
Abenojar	ʔ a b e n o ˈh a ɾ
abentura	ʔ a b e n ˈt u ɾ a
abenturero	ʔ a b e n t u ˈɾ e ɾ o
aber	ʔ a ˈb e ɾ
aberya	ʔ a b e ɾ ˈj a
Abesamis	ʔ a b e ˈs a m i s
abestrus	ʔ a b e s ˈt ɾ u s
Abigail	ˈʔ a b i ɡ e j l
abilaw	ʔ a b i ˈl a w
abilidad	ʔ a b i l i ˈd a d
abilo	ʔ a ˈb i l o
Abing	ˈʔ a b i ŋ
abismo	ʔ a ˈb i s m o
abiso	ʔ a ˈb i s o
abisuhan	ʔ a b i ˈs u h a n
abito	ˈʔ a b i t o
abitsuwela	ʔ a b i t͡ʃ u ˈe l a
abitsuwelas	ʔ a b i t͡ʃ u ˈe l a s
abla	ˈʔ a b l a
abla	ʔ a b ˈl a
Ablog	ʔ a b ˈl o ɡ
abno	ʔ a b ˈn o ʔ
abnormal	ʔ a b n o ɾ ˈm a l
abnormal	ʔ a b ˈn o ɾ m a l
abnormalidad	ʔ a b n o ɾ m a l i ˈd a d
abnoy	ʔ a b ˈn o j
abo	ʔ a ˈb o
abobot	ʔ a ˈb o b o t
abog	ʔ a ˈb o ɡ
abogada	ʔ a b o ˈɡ a d a
abogadilyo	ʔ a b o ɡ a ˈd i l j o
abogado	ʔ a b o ˈɡ a d o
abogasya	ʔ a b o ɡ a s ˈj a
abogasya	ʔ a b o ˈɡ a s j a
abok	ʔ a ˈb o k
abokado	ʔ a b o ˈk a d o
abolisyon	ʔ a b o l i s ˈj o n
abono	ʔ a ˈb o n o
aborsiyon	ʔ a ˌb o ɾ s ˈj o n
aborsiyonista	ʔ a b o ɾ s i o ˈn i s t a
aborsyonista	ʔ a b o ɾ s j o ˈn i s t a
abot	ʔ a ˈb o t
abot	ˈʔ a b o t
aboy	ʔ a ˈb o j
Abra	ˈʔ a b ɾ a
abrasador	ʔ a b ɾ a s a ˈd o ɾ
abrasete	ʔ a b ɾ a ˈs e t e
abrasiyete	ʔ a b ɾ a s i ˈe t e
abrasyete	ʔ a b ɾ a s ˈj e t e
Abrazado	ʔ a b ɾ a ˈz a d o
Abrazado	ʔ a b ɾ a ˈs a d o
abrelata	ʔ a b ɾ e ˈl a t a
Abrenica	ʔ a b ˈɾ e n i k a
abridor	ʔ a b ɾ i ˈd o ɾ
abrigo	ʔ a b ˈɾ i ɡ o
Abril	ʔ a b ˈɾ i l
absik	ʔ a b ˈs i k
absolusyon	ʔ a b s o l u s ˈj o n
absolutismo	ʔ a b s o l u ˈt i s m o
absuwelto	ʔ a b s u ˈe l t o
abuab	ʔ a b u ˈʔ a b
abubot	ʔ a ˈb u b o t
Abucay	ʔ a ˈb u k a j
Abueg	ʔ a b u ˈe ɡ
Abuel	ʔ a b u ˈe l
abuhan	ˌʔ a ˈb u h a n
abuhan	ʔ a b u ˈh a n
abuhin	ʔ a b u ˈh i n
abuhin	ˌʔ a ˈb u h i n
abukado	ʔ a b u ˈk a d o
abukanin	ʔ a b u ˈk a n i n
abukay	ʔ a ˈb u k a j
abukay	ʔ a b u ˈk a j
Abulencia	ʔ a b u ˈl e n s j a
abuloy	ʔ a ˈb u l o j
abuluyan	ˌʔ a b u l u ˈj a n
abuluyan	ʔ a b u ˈl u j a n
aburan	ʔ a b u ˈɾ a n
aburido	ʔ a b u ɾ i ˈd o
aburido	ʔ a b u ˈɾ i d o
abusado	ʔ a b u ˈs a d o
abuso	ʔ a ˈb u s o
abusuhin	ʔ a b u ˈs u h i n
abutab	ʔ a b u ˈt a b
abutan	ʔ a b u ˈt a n
abutan	ʔ a ˈb u t a n
abutan	ˌʔ a ˈb u t a n
abutin	ʔ a ˈb u t i n
abutin	ʔ a b u ˈt i n
abutra	ʔ a ˈb u t ɾ a
abuwab	ʔ a b u ˈa b
abwab	ʔ a b ˈw a b
abyad	ʔ a b ˈj a d
abyador	ʔ a b j a ˈd o ɾ
abyarin	ʔ a b j a ˈɾ i n
abyasyon	ʔ a b j a s ˈj o n
abyog	ʔ a b ˈj o ɡ
abyugin	ʔ a b j u ˈɡ i n
Academia	ʔ a k a ˈd e m j a
Acierto	ʔ a s ˈj e ɾ t o
Aclan	ʔ a k ˈl a n
Acopiado	ʔ a k o p ˈj a d o
Acorda	ʔ a ˈk o ɾ d a
Acosta	ʔ a ˈk o s t a
Acuña	ʔ a ˈk u ɲ a
Acuzar	ʔ a k u ˈz a ɾ
Acuzar	ʔ a k u ˈs a ɾ
ada	ˈʔ a d a
Adajar	ʔ a d a ˈh a ɾ
Adan	ʔ a ˈd a n
Adbentista	ʔ a d b e n ˈt i s t a
adberbiyo	ʔ a d ˈb e ɾ b i o
Adbiyento	ʔ a d b i ˈe n t o
adbokasiya	ʔ a d b o k a ˈs i a
adelantado	ʔ a d e l a n ˈt a d o
adelanto	ʔ a d e ˈl a n t o
adelpa	ʔ a ˈd e l p a
adhika	ʔ a d h i ˈk a ʔ
adhikain	ʔ a d h i ˈk a ʔ i n
adidas	ʔ a ˈd i d a s
adik	ˈʔ a d i k
adiksiyon	ʔ a d i k s ˈj o n
adiksyon	ʔ a d i k s ˈj o n
adikto	ʔ a ˈd i k t o
adisyon	ʔ a d i s ˈj o n
adisyonal	ʔ a d i s j o ˈn a l
adisyunal	ʔ a d i s j u ˈn a l
adiyaw	ʔ a d i ˈa w
adlaw	ʔ a d ˈl a w
Adlawan	ʔ a d ˈl a w a n
administrador	ʔ a d m i n i s t ɾ a ˈd o ɾ
administradora	ʔ a d m i n i s t ɾ a ˈd o ɾ a
administrasyon	ʔ a d m i n i s t ɾ a s ˈj o n
administratibo	ʔ a d m i n i s t ɾ a ˈt i b o
admiral	ˈʔ a d m i ɾ a l
admirasyon	ʔ a d m i ɾ a s ˈj o n
admisyon	ʔ a d m i s ˈj o n
adobe	ʔ a ˈd o b e
adobo	ʔ a ˈd o b o
adopsiyon	ʔ a d o p s ˈj o n
adopsyon	ʔ a d o p s ˈj o n
adorador	ʔ a d o ɾ a ˈd o ɾ
Adornado	ʔ a d o ɾ ˈn a d o
adorno	ʔ a ˈd o ɾ n o
adres	ˈʔ a d ɾ e s
adres	ʔ a d ˈɾ e s
Adrias	ʔ a d ˈɾ i a s
adulto	ʔ a ˈd u l t o
aduwa	ʔ a ˈd u a ʔ
aduwana	ʔ a d u ˈa n a
Advincula	ʔ a d ˈv i ŋ k u l a
Advincula	ʔ a d ˈb i ŋ k u l a
adwa	ʔ a d ˈw a ʔ
adwana	ʔ a d ˈw a n a
adya	ʔ a d ˈj a
adyaw	ʔ a d ˈj a w
adyenda	ʔ a d ˈj e n d a
adyo	ʔ a d ˈj o ʔ
adyo	ʔ a d ˈj o
adyo	ʔ a d ˈj o
aga	ˈʔ a ɡ a
agaas	ʔ a ɡ a ˈʔ a s
agaas	ʔ a ˈɡ a ʔ a s
agad	ʔ a ˈɡ a d
agahan	ʔ a ˈɡ a h a n
agahas	ʔ a ɡ a ˈh a s
agahas	ʔ a ˈɡ a h a s
agalya	ʔ a ˈɡ a l j a
agam	ˈʔ a ɡ a m
agamahan	ˌʔ a ɡ a ˈm a h a n
agap	ˈʔ a ɡ a p
agapay	ʔ a ˈɡ a p a j
Agapay	ʔ a ˈɡ a p a j
agaran	ˌʔ a ˈɡ a ɾ a n
agas	ˈʔ a ɡ a s
agas	ʔ a ˈɡ a s
agata	ˌʔ a ɡ a ˈt a
agatat	ʔ a ɡ a ˈt a t
Agatha	ˈʔ a ɡ a t a
Agaton	ʔ a ɡ a ˈt o n
agatsona	ʔ a ɡ a ˈt͡ʃ o n a
agaw	ˈʔ a ɡ a w
agaw	ʔ a ˈɡ a w
agbarog	ʔ a ɡ ˈb a ɾ o ɡ
agbarugan	ʔ a ɡ b a ˈɾ u ɡ a n
Agbayani	ʔ a ɡ b a ˈj a n i
Agbon	ʔ a ɡ ˈb o n
Agbuya	ʔ a ɡ ˈb u j a
Agcaoili	ʔ a ɡ k a ˈw i l i
Agdangan	ʔ a ɡ ˈd a ŋ a n
agham	ʔ a ɡ ˈh a m
aghambuhay	ʔ a ɡ h a m ˈb u h a j
aghamwika	ʔ a ɡ h a m ˈw i k a ʔ
aghimo	ʔ a ɡ ˈh i m o ʔ
aghimuan	ʔ a ɡ h i ˈm u ʔ a n
aghimuin	ʔ a ɡ h i ˈm u ʔ i n
agihap	ʔ a ˈɡ i h a p
agila	ˈʔ a ɡ i l a
agimat	ʔ a ˈɡ i m a t
agimatan	ʔ a ɡ i ˈm a t a n
aginaldo	ʔ a ɡ i ˈn a l d o
agingay	ʔ a ˈɡ i ŋ a j
agipo	ʔ a ɡ i ˈp o
agiw	ˈʔ a ɡ i w
agkap	ʔ a ɡ ˈk a p
agkap	ˈʔ a ɡ k a p
aglahi	ʔ a ɡ ˈl a h i ʔ
Aglipay	ʔ a ɡ ˈl i p a j
agnas	ʔ a ɡ ˈn a s
Agnes	ˈʔ a ɡ n e s
agnos	ʔ a ɡ ˈn o s
agnostiko	ʔ a ɡ ˈn o s t i k o
Agojo	ʔ a ˈɡ o h o ʔ
agong	ˈʔ a ɡ o ŋ
agos	ˈʔ a ɡ o s
Agosto	ʔ a ˈɡ o s t o
agoy	ˈʔ a ɡ o j
agpang	ʔ a ɡ ˈp a ŋ
Agpangan	ʔ a ɡ ˈp a ŋ a n
agrabyado	ʔ a ɡ ɾ a b ˈj a d o
Agregado	ʔ a ɡ ɾ e ˈɡ a d o
agresibo	ʔ a ɡ ɾ e ˈs i b o
agrikultura	ʔ a ɡ ɾ i k u l ˈt u ɾ a
agrimensor	ʔ a ɡ ɾ i m e n ˈs o ɾ
agsikap	ʔ a ɡ ˈs i k a p
agsikapan	ʔ a ɡ s i ˈk a p a n
Agta	ʔ a ɡ ˈt a
Aguado	ʔ a ɡ u ˈa d o
Aguas	ˈʔ a ɡ w a s
Aguda	ʔ a ˈɡ u d a
aguha	ʔ a ˈɡ u h a
aguhilya	ʔ a ɡ u ˈh i l j a
aguho	ʔ a ˈɡ u h o ʔ
aguho	ʔ a ɡ u ˈh o ʔ
Aguho	ʔ a ˈɡ u h o ʔ
aguhon	ʔ a ɡ u ˈh o n
Aguila	ˈʔ a ɡ i l a
Aguilar	ʔ a ɡ i ˈl a ɾ
Aguilera	ʔ a ɡ i ˈl e ɾ a
Aguinaldo	ʔ a ɡ i ˈn a l d o
Aguirre	ʔ a ˈɡ i ɾ e
Agujo	ʔ a ˈɡ u h o ʔ
agulo	ʔ a ˈɡ u l o
agunyas	ʔ a ɡ u n ˈj a s
Agusan	ʔ a ˈɡ u s a n
agusil	ʔ a ɡ u ˈs i l
Agustin	ʔ a ɡ u s ˈt i n
Agustino	ʔ a ɡ u s ˈt i n o
agwa	ˈʔ a ɡ w a
agwa	ʔ a ɡ ˈw a
agwa	ˈʔ a ɡ w a
agwahas	ʔ a ɡ ˈw a h a s
agwahe	ʔ a ɡ ˈw a h e
agwamarina	ʔ a ɡ w a m a ˈɾ i n a
agwanta	ʔ a ɡ w a n ˈt a
agwaras	ʔ a ɡ w a ˈɾ a s
agwardiyente	ʔ a ɡ w a ɾ d i ˈe n t e
agwardyente	ʔ a ɡ w a ɾ ˈd j e n t e
agwas	ˈʔ a ɡ w a s
agwas	ʔ a ɡ ˈw a s
agwasero	ʔ a ɡ w a ˈs e ɾ o
agwat	ʔ a ɡ ˈw a t
agwela	ʔ a ɡ ˈw e l a
agwelo	ʔ a ɡ ˈw e l o
ahang	ˈʔ a h a ŋ
ahang	ʔ a ˈh a ŋ
ahas	ˈʔ a h a s
ahedres	ʔ a h e d ˈɾ e s
ahedres	ʔ a ˈh e d ɾ e s
ahensiya	ʔ a ˈh e n s j a
ahente	ʔ a ˈh e n t e
ahit	ˈʔ a h i t
ahit	ʔ a ˈh i t
ahiya	ˈʔ a h i a
Ahiya	ˈʔ a h i a
ahon	ˈʔ a h o n
ahunin	ʔ a ˈh u n i n
aikido	ʔ a j ˈk i d o
akademya	ʔ a k a ˈd e m j a
akala	ʔ a ˈk a l a ʔ
akala	ʔ a ˈk a l a
akap	ˈʔ a k a p
akasya	ʔ a ˈk a s j a
akawntant	ʔ a ˈk a w n t a n t
akay	ˈʔ a k a j
akayin	ʔ a ˈk a j i n
akayin	ʔ a k a ˈj i n
akba	ʔ a k ˈb a
akba	ˈʔ a k b a
akbay	ʔ a k ˈb a j
akda	ʔ a k ˈd a ʔ
akibat	ʔ a ˈk i b a t
Akiko	ʔ a ˈk i k o
akin	ˈʔ a k i n
akin	ˈʔ a k e n
akit	ˈʔ a k i t
akit	ʔ a ˈk i t
Aklan	ʔ a k ˈl a n
aklas	ʔ a k ˈl a s
aklat	ʔ a k ˈl a t
aklatan	ʔ a k ˈl a t a n
akma	ʔ a k ˈm a ʔ
akma	ʔ a k ˈm a
ako	ʔ a ˈk o
ako	ˈʔ a k o ʔ
akom	ˈʔ a k o m
akom	ʔ a ˈk o m
akompanya	ʔ a k o m p a n ˈj a
akordeon	ʔ a k o ɾ d e ˈo n
akordeon	ʔ a k o ɾ d i ˈo n
akreditasyon	ʔ a k ɾ e d i t a s ˈj o n
akronim	ˌʔ a k ɾ o ˈn i m
akrostik	ʔ a k ˈɾ o s t i k
aksaya	ʔ a k s a ˈj a
aksayado	ʔ a k s a ˈj a d o
akses	ˈʔ a k s e s
aksibal	ʔ a k ˈs i b a l
aksidente	ʔ a k s i ˈd e n t e
aksis	ˈʔ a k s i s
aksiyon	ʔ a k s i ˈo n
aksyon	ʔ a k s ˈj o n
aktibidad	ʔ a k t i b i ˈd a d
aktibidades	ʔ a k t i b i ˈd a d e s
aktibismo	ʔ a k t i ˈb i s m o
aktibista	ʔ a k t i ˈb i s t a
aktibo	ʔ a k ˈt i b o
akto	ˈʔ a k t o
aktor	ʔ a k ˈt o ɾ
aktres	ʔ a k ˈt ɾ e s
aktres	ˈʔ a k t ɾ e s
aktuwal	ʔ a k t u ˈa l
aktwal	ʔ a k ˈt w a l
akuin	ʔ a ˈk u ʔ i n
akumulasyon	ʔ a k u m u l a s ˈj o n
akurdiyon	ʔ a k u ɾ d i ˈo n
akusa	ʔ a k u ˈs a
akusado	ʔ a k u ˈs a d o
akusasyon	ʔ a k u s a s ˈj o n
akwarela	ʔ a k w a ˈɾ e l a
Akwaryo	ʔ a k ˈw a ɾ j o
akwaryo	ʔ a k ˈw a ɾ j o
akwaryum	ʔ a k ˈw a ɾ j u m
akwatiko	ʔ a k ˈw a t i k o
akyat	ʔ a k ˈj a t
akyatan	ʔ a k ˈj a t a n
akyatan	ʔ a k j a ˈt a n
akyatin	ʔ a k j a ˈt i n
ala	ʔ a ˈl a
ala	ˈʔ a l a
ala	ʔ a ˈl a ʔ
ala	ʔ a ˈl a
Ala	ʔ a ˈl a
Ala	ʔ ə ˈl a
alaala	ʔ a l a ˈʔ a l a
alaala	ʔ a l a ʔ a ˈl a
alab	ˈʔ a l a b
Alabama	ʔ a l a ˈb a m a
Alabang	ʔ a l a ˈb a ŋ
alabastro	ʔ a l a ˈb a s t ɾ o
Alabat	ʔ a l a ˈb a t
alabok	ʔ a l a ˈb o k
alabwab	ʔ a l a b ˈw a b
alaga	ʔ a ˈl a ɡ a ʔ
alaga	ʔ a l a ˈɡ a ʔ
alagad	ʔ a l a ˈɡ a d
alagaw	ʔ a l a ˈɡ a w
alahado	ʔ a l a ˈh a d o
alahas	ʔ a ˈl a h a s
alahero	ʔ a l a ˈh e ɾ o
alak	ˈʔ a l a k
alakdan	ʔ a l a k ˈd a n
Alakdan	ʔ a l a k ˈd a n
alakibot	ʔ a ˈl a k i b o t
alakos	ʔ a l a ˈk o s
alala	ʔ a l a ˈl a
alala	ʔ a ˈl a l a
alalahanin	ʔ a l a l a ˈh a n i n
alalahanin	ʔ a l a l a h a ˈn i n
alalawa	ˌʔ a l a ˈl a w a ʔ
alalay	ʔ a ˈl a l a j
alalay	ʔ a l a ˈl a j
alam	ʔ a ˈl a m
alam	ˈʔ a l a m
alam	ˈʔ a l a m
alaman	ʔ a ˈl a m a n
alamang	ʔ a l a ˈm a ŋ
alamat	ʔ a l a ˈm a t
alambre	ʔ a ˈl a m b ɾ e
alambrera	ʔ a l a m ˈb ɾ e ɾ a
alamid	ʔ a l a ˈm i d
alamin	ʔ a l a ˈm i n
Alaminos	ʔ a l a ˈm i n o s
alampay	ʔ a l a m ˈp a j
alandahaw	ʔ a l a n ˈd a h a w
alangaang	ʔ a l a ˈŋ a ʔ a ŋ
alangan	ʔ a l a ˈŋ a n
alanganin	ʔ a l a ˈŋ a n i n
alangilan	ʔ a l a ˈŋ i l a n
Alangilan	ʔ a l a ˈŋ i l a n
alapaap	ʔ a l a ˈp a ʔ a p
alapaap	ʔ a l a p a ˈʔ a p
alapaw	ʔ a ˈl a p a w
Alarcon	ʔ a l a ɾ ˈk o n
alarma	ʔ a ˈl a ɾ m a
alas	ʔ a ˈl a s
alas	ʔ a ˈl a s
alas	ʔ a ˈl a s
alas	ˈʔ a l a s
Alaska	ʔ a ˈl a s k a
alaskador	ʔ a l a s k a ˈd o ɾ
alat	ˈʔ a l a t
alay	ˈʔ a l a j
alba	ˈʔ a l b a
Alba	ˈʔ a l b a
albahaka	ʔ a l b a ˈh a k a
albakora	ʔ a l b a ˈk o ɾ a
Albano	ʔ a l ˈb a n o
Albanya	ʔ a l ˈb a n j a
albarikoke	ʔ a l b a ɾ i ˈk o k e
Albay	ʔ a l ˈb a j
albay	ʔ a l ˈb a j
Alberto	ʔ a l ˈb e ɾ t o
alboroto	ʔ a l b o ˈɾ o t o
albularyo	ʔ a l b u ˈl a ɾ j o
Alcaide	ʔ a l ˈk a j d e
Alcala	ʔ a l k a ˈl a
Alcantara	ʔ a l ˈk a n t a ɾ a
aldabis	ʔ a l d a ˈb i s
Aldana	ʔ a l ˈd a n a
Aldover	ʔ a l d o ˈv e ɾ
Aldover	ʔ a l d o ˈb e ɾ
Aldovino	ʔ a l d o ˈv i n o
Aldovino	ʔ a l d o ˈb i n o
ale	ˈʔ a l e
Alegado	ʔ a l e ˈɡ a d o
alegasyon	ʔ a l e ɡ a s ˈj o n
alegoriya	ʔ a l e ɡ o ˈɾ i a
alegorya	ʔ a l e ˈɡ o ɾ j a
Alegre	ʔ a ˈl e ɡ ɾ e
Alejandrino	ʔ a l e h a n ˈd ɾ i n o
Alejandro	ʔ a l e ˈh a n d ɾ o
aleluya	ʔ a l e ˈl u j a
Aleman	ʔ a l e ˈm a n
Alemanya	ʔ a l e ˈm a n j a
alembong	ʔ a ˈl e m b o ŋ
Alfaro	ʔ a l ˈf a ɾ o
Alfeche	ʔ a l ˈf e t͡ʃ e
Alfeche	ʔ a l ˈp e t͡ʃ e
Alfredo	ʔ a l ˈf ɾ e d o
Alfredo	ʔ a l ˈp ɾ e d o
algodon	ʔ a l ɡ o ˈd o n
alguwasil	ʔ a l ɡ u a ˈs i l
ali	ˈʔ a l i
Aliaga	ʔ a l ˈj a ɡ a
alibadbad	ʔ a l i b a d ˈb a d
alibarbar	ʔ a l i b a ɾ ˈb a ɾ
alibata	ʔ a l i ˈb a t a
alibugha	ʔ a l i b u ɡ ˈh a ʔ
alibukay	ʔ a l i b u ˈk a j
alibutdan	ʔ a l i b u t ˈd a n
alibutran	ʔ a l i b u t ˈɾ a n
Alicante	ʔ a l i ˈk a n t e
Aliga	ʔ a ˈl i ɡ a
aligaga	ʔ a l i ɡ a ˈɡ a ʔ
aligamgam	ʔ a l i ɡ a m ˈɡ a m
aligi	ʔ a l i ˈɡ i
aligid	ʔ a l i ˈɡ i d
aligid	ʔ a ˈl i ɡ i d
alikabok	ʔ a l i k a ˈb o k
alikate	ʔ a l i ˈk a t e
alikate	ʔ a l i ˈk a t e ʔ
alila	ʔ a ˈl i l a ʔ
alilis	ʔ a l i ˈl i s
alilis	ʔ a ˈl i l i s
alilisan	ʔ a l i ˈl i s a n
alilisan	ˌʔ a l i l i ˈs a n
alilisan	ˌʔ a l i ˈl i s a n
alimango	ʔ a l i ˈm a ŋ o
Alimango	ʔ a l i ˈm a ŋ o
alimasag	ʔ a l i ˈm a s a ɡ
alimbukay	ʔ a l i m b u ˈk a j
alimis	ʔ a l i ˈm i s
alimpayawan	ʔ a l i m p a ˈj a w a n
alimpungat	ʔ a l i m p u ˈŋ a t
alimpuyo	ʔ a l i m p u ˈj o
alimuom	ʔ a l i ˈm u ʔ o m
alimuom	ʔ a l i m u ˈʔ o m
alimuran	ʔ a l i m u ˈɾ a n
alin	ʔ a ˈl i n
alin	ʔ a ˈl e n
alindog	ʔ a l i n ˈd o ɡ
alinlangan	ʔ a l i n ˈl a ŋ a n
alinman	ʔ a l i n ˈm a n
alinsunod	ʔ a l i n ˈs u n o d
alintana	ʔ a l i n ˈt a n a
alintataw	ʔ a l i n ˈt a t a w
alintataw	ʔ a l i n t a ˈt a w
aling	ˈʔ a l i ŋ
aling	ʔ a ˈl i ŋ
Aling	ˈʔ a l i ŋ
Alingaro	ʔ a l i ˈŋ a ɾ o
alingasaw	ʔ a l i ˈŋ a s a w
alingasngas	ʔ a l i ŋ a s ˈŋ a s
alingawngaw	ʔ a l i ŋ a w ˈŋ a w
alipala	ʔ a l i ˈp a l a ʔ
alipala	ʔ a l i ˈp a l a
alipato	ʔ a l i ˈp a t o
alipin	ʔ a ˈl i p i n
alipores	ʔ a l i ˈp o ɾ e s
alipunga	ʔ a l i p u ˈŋ a
alipusta	ʔ a l i p u s ˈt a ʔ
alis	ʔ a ˈl i s
alisaga	ʔ a l i s a ˈɡ a ʔ
alisagsag	ʔ a l i s a ɡ ˈs a ɡ
alisan	ʔ a l i ˈs a n
alisan	ˌʔ a ˈl i s a n
alisangsang	ʔ a l i s a ŋ ˈs a ŋ
alisin	ʔ a l i ˈs i n
alisto	ʔ a ˈl i s t o
alisuas	ʔ a l i ˈs u ʔ a s
alit	ˈʔ a l i t
alitan	ʔ a ˈl i t a n
alitangya	ʔ a l i t a ŋ ˈj a
alitaptap	ʔ a l i t a p ˈt a p
aliterasyon	ʔ a l i t e ˈɾ a s j o n
alituntunin	ˌʔ a l i t u n ˈt u n i n
alituntunin	ʔ a l i t u n t u ˈn i n
aliw	ʔ a ˈl i w
aliw	ˈʔ a l i w
aliwalas	ʔ a l i ˈw a l a s
alkabus	ʔ a l k a ˈb u s
alkabusero	ʔ a l k a b u ˈs e ɾ o
alkagwete	ʔ a l k a ɡ ˈw e t e
alkahuwete	ʔ a l k a h u ˈe t e
alkalde	ʔ a l ˈk a l d e
alkaldesa	ʔ a l k a l ˈd e s a
alkampor	ʔ a l k a m ˈp o ɾ
alkansiya	ʔ a l k a n s ˈj a
alkansiya	ʔ a l k a n ˈs i a
alkansya	ʔ a l k a n s ˈj a
alkansya	ʔ a l ˈk a n s j a
alkantarilya	ʔ a l k a n t a ˈɾ i l j a
alkatsopas	ʔ a l k a ˈt͡ʃ o p a s
alkayseriya	ʔ a l k a j s e ˈɾ i a
alkitran	ʔ a l k i t ˈɾ a n
alkohol	ʔ a l k o ˈh o l
Allan	ˈʔ a l a n
Allison	ˈʔ a l i s o n
alma	ʔ a l ˈm a
Alma	ˈʔ a l m a
Almaden	ʔ a l m a ˈd e n
almanake	ʔ a l m a ˈn a k e
Almarez	ʔ a l m a ˈɾ e s
Almario	ʔ a l ˈm a ɾ j o
almasen	ʔ a l m a ˈs e n
almasiga	ʔ a l ˈm a s i ɡ a
almasiga	ʔ a l m a ˈs i ɡ a
Almazan	ʔ a l m a ˈz a n
Almazan	ʔ a l m a ˈs a n
Almeda	ʔ a l ˈm e d a
almeha	ʔ a l ˈm e h a
Almendrala	ʔ a l m e n ˈd ɾ a l a
almendras	ʔ a l ˈm e n d ɾ a s
almete	ʔ a l ˈm e t e
almirante	ʔ a l m i ˈɾ a n t e
almirol	ʔ a l m i ˈɾ o l
almohada	ʔ a l m o ˈh a d a
almohadilya	ʔ a l m o h a ˈd i l j a
almon	ʔ a l ˈm o n
almondigas	ʔ a l m o n d i ˈɡ a s
almoranas	ʔ a l m o ˈɾ a n a s
almowada	ʔ a l m o ˈa d a
almusal	ʔ a l m u ˈs a l
almuwada	ʔ a l m u ˈa d a
almuwerso	ʔ a l m u ˈe ɾ s o
alo	ˈʔ a l o ʔ
alod	ˈʔ a l o d
alog	ʔ a ˈl o ɡ
alog	ˈʔ a l o ɡ
alok	ʔ a ˈl o k
Alolod	ʔ a l o ˈl o d
alon	ˈʔ a l o n
Alonte	ʔ a ˈl o n t e
Alonto	ʔ a ˈl o n t o
aloy	ˈʔ a l o j
alpa	ˈʔ a l p a
alpa	ʔ a l ˈp a
alpabeto	ʔ a l p a ˈb e t o
alpahol	ʔ a l p a ˈh o l
alpaka	ʔ a l ˈp a k a
alpapa	ʔ a l ˈp a p a
